,game,model,experiment,episode,metric,value
0,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Request Count,1.0
1,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Parsed Request Count,1.0
2,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Violated Request Count,0.0
3,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Request Success Ratio,1.0
4,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Aborted,0.0
5,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Lose,1.0
6,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Success,0.0
7,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_0,Main Score,0.0
8,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Request Count,4.0
9,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Parsed Request Count,4.0
10,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Violated Request Count,0.0
11,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Request Success Ratio,1.0
12,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Aborted,0.0
13,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Lose,0.0
14,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Success,1.0
15,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,0_high_en,episode_1,Main Score,50.0
16,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Request Count,4.0
17,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Parsed Request Count,4.0
18,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Violated Request Count,0.0
19,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Request Success Ratio,1.0
20,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Aborted,0.0
21,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Lose,0.0
22,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Success,1.0
23,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_0,Main Score,50.0
24,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Request Count,2.0
25,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Parsed Request Count,2.0
26,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Violated Request Count,0.0
27,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Request Success Ratio,1.0
28,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Aborted,0.0
29,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Lose,0.0
30,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Success,1.0
31,taboo,gemini-1.5-flash-002-t0.0--gemini-1.5-flash-002-t0.0,1_medium_en,episode_1,Main Score,100.0
32,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Request Count,4.0
33,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Parsed Request Count,4.0
34,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Violated Request Count,0.0
35,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Request Success Ratio,1.0
36,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Aborted,0.0
37,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Lose,0.0
38,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Success,1.0
39,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_0,Main Score,50.0
40,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Request Count,2.0
41,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Parsed Request Count,2.0
42,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Violated Request Count,0.0
43,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Request Success Ratio,1.0
44,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Aborted,0.0
45,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Lose,0.0
46,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Success,1.0
47,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_1,Main Score,100.0
48,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Request Count,2.0
49,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Parsed Request Count,2.0
50,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Violated Request Count,0.0
51,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Request Success Ratio,1.0
52,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Aborted,0.0
53,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Lose,1.0
54,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Success,0.0
55,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_2,Main Score,0.0
56,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_3,Request Count,3.0
57,get_to_the_point,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,0_exp_level_1_en,episode_3,Parsed Request Count,3.0
